idn,title,auftraggeber-per-idn,auftraggeber-per-name,auftraggeber-inst-idn,auftraggeber-inst-name
1236154568,Entwurfszeichnung und vergrößerte Reproduktion von Briefbogen für J. J. Brodbeck Vice-Director,,J.J. Brodbeck,,
1236170598,Druckbögen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,,,041038916,Verlag der Kunst
123617061X,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,,,041038916,Verlag der Kunst
1236170628,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,,,041038916,Verlag der Kunst
1236170725,Schriftkunst,,,,VEB Polydruck Dresden
1236170725,Schriftkunst,,,041038916,Verlag der Kunst
1236170725,Schriftkunst,,,963226231,VEB Polypack
1236170725,Schriftkunst,,,945154933,Offizin Andersen Nexö
1236170741,Korrekturfahne von Briefbogen für Graphia Hans Gundlach GmbH Bielefeld,,,,Graphia Hans Gundlach GmbH
1236170806,Klebeentwürfe von Illustrationen für Der chinesische Stempel,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236170946,Adressetikett mit Firmenzeichen für Georg-Rentsch-Söhne,,,050699571,Georg-Rentsch-Söhne
1236170954,Entwurfsskizzen von Titelblatt und Verlegermarke für Leben und Werk des Typographen Jan Tschichold,,,041038916,Verlag der Kunst
1236170997,Corporate Design für Graphia Hans Gundlach GmbH Bielefeld,,,,Graphia Hans Gundlach GmbH
1236171012,Papierproben und Entwurfszeichnungen für Der chinesische Stempel,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236171020,Blindband für Der chinesische Stempel,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236171047,Korrigierter Probedruck von Der chinesische Stempel,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236171063,Der chinesische Stempel [Manuskript],,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236171586,Mit den besten Glückwünschen zum neuen Jahre,,,973703210,Aug. Heinrigs
1236171977,Alle guten Wünsche zum neuen Jahre sendet Ihnen J. FINK Druckerei KG Stuttgart N,118675788,Qi,96105784X,Druckerei J. Fink
1236172302,Korrekturfahnen für das Titelblatt von Die Bildersammlung der Zehnbambushalle,,,004692047,Eugen-Rentsch-Verlag
123617240X,Das @Meerwunder,,,000395692,Propyläen-Verlag
1236172507,Entwürfe und Korrekturfahnen von Geschäftsdrucksachen für Rentsch AG,,,1112151923,Rentsch AG
1236172698,"Probedrucke, Klischee und Klischeeabzug von Titelblatt und Illustration für Gebetbuch für das Pessachfest",,,1064062229,Goldschmidt Basel AG
1236172787,Korrekturfahne für einen Briefbogen für Georg-Rentsch-Söhne,,,050699571,Georg-Rentsch-Söhne
1236172795,Briefbögen und Briefumschläge für Georg-Rentsch-Söhne,,,050699571,Georg-Rentsch-Söhne
1236172965,Entwurfszeichnungen von Briefbogen für Rentsch AG,,,1112151923,Rentsch AG
