idn,title,schrift
1236149882,"Klischees, Klischeeabzüge und Fotokopien von Versal-Ziffern für die Sabon","Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236149890,"Fotokopien von Sabon-Entwürfen, Skizzen und korrigierte Ausschnitte aus Reproduktionen der Sabon","Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236149939,Klebeentwürfe für Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150058,Fotokopien von Sabon-Entwürfen und Klebeentwürfe mit montierten Ausschnitten aus Fotokopien von Sabon-Entwürfen,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150120,Fotokopien von Sabon-Entwürfen und montierte und korrigierte Ausschnitte aus Reproduktionen der Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150279,"Fotokopien von Sabon-Entwürfen, Probedrucke der Sabon und Reproduktionen von Garamonds Gros Canon Romain","Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150295,Fotokopien von kursiven Sabon-Entwürfen und montierte Ausschnitte aus Kopien,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150333,"Fotokopien von Sabon-Entwürfen, Skizzen und korrigierte Ausschnitte aus Reproduktionen der Sabon","Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236150678,Mappe Zur Garamond,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150686,"Mappe mit Transparentfolie, Probedrucken und Notizen zur  Garamond","Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150694,Mappe 3. Versuch. Beendet am 21.9.60,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150732,Mappe 2. Versuch,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150848,"Mappe Neue Garamond 1. Versuch, 2.7.60","Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150910,"Mappe mit Notizen, Probedrucken, Klischeeabzügen zur Garamond","Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236150996,Mappe Alte Halbfette Garamond,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
123615147X,Mappe mit Entwurfszeichnungen und Reproduktionen Antesk,"Gestaltungsentwurf von: Tschichold, Jan: Antesk (Druckschrift). Basel, 1953."
1236158105,Reproduktionen und Klebeentwürfe der Transito,"Gestaltungsentwurf von: Tschichold, Jan: Transito (Druckschrift). Amsterdam: Lettergieterij Amsterdam, 1931."
1236174127,"Neue Zeichnungen für die SABON von Jan Tschichold für die Grade von 14 Punkt ab, Mai 1965","Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236174186,Fotokopie und Reproduktion von Sabon-Entwürfen,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236175085,Entbehrliche Photokopien einzelner Buchstaben (gewöhnliche) ab 14 P,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
123617514X,Probedrucke der Sabon in verschiedenen Schriftschnitten und Schriftgraden,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236176898,Probedrucke der Sabon in verschiedenen Schriftschnitten und Schriftgraden,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236177126,Korrigierte Ausschnitte aus Fotoreproduktionen und Fotokopien von Entwürfen der Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236177150,Entwürfe für die Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236178270,Entwurf für die Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236178300,Probedrucke einer 10 Punkt Garamond,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236178394,Montierte Klischeevorlagen und Notiz zur Garamond,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236178416,Studie für die Entwicklung der Sabon,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236178602,Entwurfszeichnung für eine Antiqua,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236178637,Entwürfe für die Sabon und eine Garamond,"Gestaltungsentwurf von: Tschichold, Jan: Sabon (Druckschrift). Frankfurt, London: Linotype, Monotype, D. Stempel, 1967."
1236178645,Entwürfe für eine Antiqua und eine Halbfette,"Gestaltungsentwurf von: Tschichold, Jan: Garamond (Druckschrift). [Basel?], 1960."
1236275837,Übersichtsbogen Halbfette Standard-Grotesk als Lieferschein,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278720,Entwurfszeichnungen Uhertype Magere Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278739,Entwurfszeichnungen Uhertype Fette Ramses,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Ramses (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278747,Entwurfszeichnungen Uhertype Magere Grotesk Kursiv,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278828,Cyanotypie mit Französischen Schriftproben der Uhertype Standard-Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278844,Cyanotypien mit in Uhertype Standard-Grotesk gesetztem Text,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236278852,Korrigierte Kopien von in Uhertype Standard-Grotesk gesetztem Text,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279077,Mappe mit Entwurfszeichnungen Uhertype Antiqua Gemeine Kursiv,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Antiqua (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279190,Cyanotypie mit Französischen Schriftproben der Uhertype Standard-Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279247,Mappe mit Entwurfszeichnungen Uhertype Halbfette Antiqua,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Antiqua (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279255,Mappe mit Entwurfszeichnungen Uhertype Antiqua,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Antiqua (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279956,Entwurfszeichnungen Uhertype Dreiviertel Fette Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236279980,Entwurfszeichnungen Uhertype Halbfette Ramses,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Ramses (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236280067,Einzelbestimmungen zur Verwendung der halbfetten Standard-Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
1236280083,Entwurfszeichnungen Uhertype Standard-Grotesk,"Gestaltungsentwurf von: Tschichold, Jan: Uhertype Standard-Grotesk (Druckschrift). Zürich: Uhertype AG, 1933-1934."
