idn,title,ort-idn,ort-name
1236149408,Skizze und Probedrucke von Empfehlungskarte Neujahrswunsch beigelegt zu Der chinesische Stempel,968526721,Berzona
1236149408,Skizze und Probedrucke von Empfehlungskarte Neujahrswunsch beigelegt zu Der chinesische Stempel,040046176,Basel
1236149416,"Skizzen, Probedrucke und Klebeentwürfe für Der chinesische Stempel",968526721,Berzona
1236149424,Arbeitsmaterial zu Illustrationen für Der chinesische Stempel,968526721,Berzona
1236149432,Klischeevorlagen für Illustrationen von Das Alphabet des Damianus Moyllus,968526721,Berzona
1236149440,Klebeentwürfe für Illustrationen von Das Alphabet des Damianus Moyllus,968526721,Berzona
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,968526721,Berzona
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,040046176,Basel
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,968526721,Berzona
123614953X,Montierte Skizzen für die Illustrationen von Das Alphabet des Damianus Moyllus,968526721,Berzona
1236149556,"Montierte Entwürfe, Satzvorlagen und Probedrucke von Illustrationen für Das Alphabet des Damianus Moyllus",968526721,Berzona
1236149556,"Montierte Entwürfe, Satzvorlagen und Probedrucke von Illustrationen für Das Alphabet des Damianus Moyllus",040046176,Basel
1236149599,Mappe mit Vorarbeiten zu Werke und Aufsätze über El Lissitzky (1890-1941),968526721,Berzona
1236149610,Arbeitsnotizen zu In Su-Chou um 1740: 15 Ku-Su-Drucke,968526721,Berzona
1236149653,Sammlung von Entwürfen und Probedrucken von Firmenzeichen für Georg-Rentsch-Söhne,040435067,Olten
1236149696,Mappe mit Sammlung von Transparentfolien mit aufgedrucktem Firmenzeichen für Georg-Rentsch-Söhne,040435067,Olten
1236149718,Arbeitsmaterial für Asymmetric Typography und Die unsymmetrische Satzweise,968526721,Berzona
1236149734,Klischeeabzüge der Illustrationen für Ausgewählte Aufsätze über Fragen der Gestalt des Buches und der Typographie,040046176,Basel
1236149777,Klischeeabzüge der Illustrationen für Ausgewählte Aufsätze über Fragen der Gestalt des Buches und der Typographie,040046176,Basel
1236149793,Korrigierte Klischeeabzüge der Illustrationen für Ausgewählte Aufsätze über Fragen der Gestalt des Buches und der Typographie,040046176,Basel
1236149823,Klischeeabzüge der Illustrationen für Ausgewählte Aufsätze über Fragen der Gestalt des Buches und der Typographie,040046176,Basel
1236149831,Konvolut Arbeitsmaterial zu Asymmetric Typography,040046176,Basel
1236149866,Klebeentwurf und Probedruck für den Schutzumschlag von Asymmetric Typography,,
1236149882,"Klischees, Klischeeabzüge und Fotokopien von Versal-Ziffern für die Sabon",040046176,Basel
1236149890,"Fotokopien von Sabon-Entwürfen, Skizzen und korrigierte Ausschnitte aus Reproduktionen der Sabon",040046176,Basel
1236149939,Klebeentwürfe für Sabon,040046176,Basel
1236149998,"Klischeeabzüge, Probedrucke und Vorarbeiten für verschiedene Artikel und Abbildungen über El Lissitzky",040046176,Basel
1236150007,Notizen und Probedrucke von Titelzeile für Über Buchkunst und Typographie,040046176,Basel
1236150058,Fotokopien von Sabon-Entwürfen und Klebeentwürfe mit montierten Ausschnitten aus Fotokopien von Sabon-Entwürfen,968526721,Berzona
1236150058,Fotokopien von Sabon-Entwürfen und Klebeentwürfe mit montierten Ausschnitten aus Fotokopien von Sabon-Entwürfen,040046176,Basel
1236150104,Notizen und montierte Reproduktionen historischer Gebrauchsgrafik als Vorlagen für Illustrationen von Gelegenheitsdrucksachen aus fünf Jahrhunderten,040046176,Basel
1236150120,Fotokopien von Sabon-Entwürfen und montierte und korrigierte Ausschnitte aus Reproduktionen der Sabon,040046176,Basel
1236150163,Historische Drucke des 17. Jahrhunderts für Gelegenheitsdrucksachen aus fünf Jahrhunderten,040046176,Basel
1236150228,Gesammelte Beispiele für Illustrationen von Gelegenheitsdrucksachen aus fünf Jahrhunderten,040046176,Basel
1236150279,"Fotokopien von Sabon-Entwürfen, Probedrucke der Sabon und Reproduktionen von Garamonds Gros Canon Romain",040046176,Basel
1236150295,Fotokopien von kursiven Sabon-Entwürfen und montierte Ausschnitte aus Kopien,040046176,Basel
1236150333,"Fotokopien von Sabon-Entwürfen, Skizzen und korrigierte Ausschnitte aus Reproduktionen der Sabon",040046176,Basel
1236150368,Fotokopien für einen Briefkopf für Franz Haniel AG,040046176,Basel
1236150449,Briefbogen und Briefumschlag von Franz Haniel AG,040046176,Basel
1236150481,Korrekturfahnen und Probedrucke für Umschlag und Titelblatt der Dissertation von Peter Tschichold,040046176,Basel
1236150538,Mappe mit Klebeentwurf für einen Briefbogen von Franz Haniel AG,040046176,Basel
1236150562,"Notizen, Montierte Klischeevorlagen, Reproduktionsfotografien und Druckklischees zu Antiquaschriften",040046176,Basel
1236150619,"Montierte Klischeevorlage, Reproduktionsfotografien und Druckklischee zu Antiquaschriften",040046176,Basel
1236150643,Montierte Klischeevorlage und Notizen für die Illustration einer Renaissance-Antiqua,040046176,Basel
123615066X,Reproduktionsfotografien einer Italique ancienne und weiterer historischer Kursivschriften,040046176,Basel
1236150678,Mappe Zur Garamond,040046176,Basel
1236150686,"Mappe mit Transparentfolie, Probedrucken und Notizen zur  Garamond",040046176,Basel
1236150694,Mappe 3. Versuch. Beendet am 21.9.60,040046176,Basel
1236150732,Mappe 2. Versuch,040046176,Basel
1236150848,"Mappe Neue Garamond 1. Versuch, 2.7.60",040046176,Basel
1236150910,"Mappe mit Notizen, Probedrucken, Klischeeabzügen zur Garamond",040046176,Basel
1236150937,Probedrucke und Korrekturfahnen von Neujahrswunsch Alles Gute im neuen Jahr wünschen Jan und Edith Tschichold,040046176,Basel
1236150996,Mappe Alte Halbfette Garamond,040046176,Basel
1236151054,"Skizze und Klischees für Illustrationen von Geschichte der Schrift in Bildern, 4. Auflage",040046176,Basel
1236151100,"Klischees und Klischeeabzüge für Illustrationen von Geschichte der Schrift in Bildern, 4. Auflage",040046176,Basel
1236151151,"Klebeentwurf, Klischeeabzüge und montierter Druck von Titelblatt für Geschichte der Schrift in Bildern, 4. Auflage",040046176,Basel
1236151178,"Notizen zu Gestaltung und Inhalt von Geschichte der Schrift in Bildern, 4. Auflage",040046176,Basel
1236151224,"Probedrucke von Druckklischees in Briefumschlag für Schönste, liebe mich",040046176,Basel
1236151275,"Briefumschlag mit Notizen für Schönste, liebe mich",040046176,Basel
1236151291,"Mappe mit Vorarbeiten und Notizen zu Schönste, liebe mich",040046176,Basel
1236151364,Papiermuster der Mühlebach AG für Geschäftsdrucksachen Freunde Alter Musik,040902110,Brugg
1236151402,Mappe Vorlagen für erste Alos-Kopien,040046176,Basel
1236151445,Mappe mit Schriftentwürfen Cancellaresca und Reproduktionen von Sabon Entwürfen,040046176,Basel
123615147X,Mappe mit Entwurfszeichnungen und Reproduktionen Antesk,040046176,Basel
1236151534,Klebeentwürfe von Illustrationen für Formenwandlung der &-Zeichen,040046176,Basel
1236151577,Leihscheine Universitätsbibliothek Basel,040046176,Basel
1236151631,Konvolut Firmenzeichen und Verlegermarken,040046176,Basel
1236151682,"Druckklischees für die Illustrationen von Schriftkunde, Schreibübungen und Skizzieren, 2. Auflage",040057283,Berlin
1236151739,Reproduktionen und Fotokopien von Entwurf für Signet für Georg-Rentsch-Söhne [1950],040046176,Basel
1236151852,"Entwürfe, Fotokopien und Reproduktionen von Schriftzug für Georg-Rentsch-Söhne [1950]",040046176,Basel
1236151887,"Entwurfszeichnungen, Fotokopien und Reproduktionen von Signet für Georg-Rentsch-Söhne [1950]",040046176,Basel
1236151933,"Mappe mit Vorarbeiten, Entwurfszeichnungen und Probedrucken zu Kalenderziffern",040046176,Basel
1236152018,Entwürfe und Reproduktionen von Firmenzeichen für Georg-Rentsch-Söhne [1950],040435067,Olten
1236152085,"Vorarbeiten und Probedrucke für Im Dienste des Buches, Designing Books und I Bogens Tjeneste",040046176,Basel
1236152220,Briefbögen und Briefumschläge für Georg-Rentsch-Söhne,040435067,Olten
123615228X,Druckvorstufen und Probedrucke für Firmenzeichen Georg-Rentsch-Söhne,040046176,Basel
1236152387,Skizzen und Probedrucke für den Buchrücken von Apuleius,043008542,Harmondsworth
1236152433,Layoutvorlage und Druckfahne für zwei Seiten von Shakespeare's Sonnets,043008542,Harmondsworth
1236152506,Entwürfe für die Gestaltung von Buchrücken für British Wild Flowers,043008542,Harmondsworth
1236152573,Schriftentwürfe für das Titelblatt von Insect Life,043008542,Harmondsworth
1236152611,Klischeeabzüge für das Titelblatt von A Book of Scripts,043008542,Harmondsworth
1236152670,Abzüge Verlegermarken für Penguin Books,043008542,Harmondsworth
1236152751,Bucheinbände für The Odyssey,043008542,Harmondsworth
1236152824,Entwürfe von Verlegermarken und Briefbogen für Verlag Heinrich Majer,040046176,Basel
1236152883,"Probedrucke von Akzidenz und Neujahrswunsch für Antiquariat Bernhard Krohn, Paul Griesinger und Jan Tschichold",040046176,Basel
123615293X,Entwürfe für das Titelblatt von A Book of Scripts,043008542,Harmondsworth
1236152964,"Entwürfe für ein Werbeschild Birds Of A Feather: Penguins, Pelicans, and Puffins",043008542,Harmondsworth
1236153022,Entwürfe für die Gestaltung verschiedener Buchrücken für Penguin Books,043008542,Harmondsworth
1236153081,Entwurf und Korrekturfahne für den Schutzumschlag von Geschichte der Schweizerischen Eidgenossenschaft,040046176,Basel
1236153138,Entwürfe und Skizzen für Umschläge von Penguin Books,043008542,Harmondsworth
1236153138,Entwürfe und Skizzen für Umschläge von Penguin Books,968526721,Berzona
1236153219,Typografische Entwürfe von unbekannten Buchtsabenkürzeln,,
1236153294,Entwürfe für einen Scheck für Penguin Books,043008542,Harmondsworth
1236153383,Entwürfe der Typographie für den Umschlag von Penguins Progress Volume 5,043008542,Harmondsworth
1236153421,Skizzen für die Gestaltung verschiedener Bucheinbände für Penguin Books,043008542,Harmondsworth
1236153472,Layout für Seiten von Alice's Adventures in Wonderland,043008542,Harmondsworth
1236153502,Konvolut Skizzenentwürfe von Verlegermarke für Interavia-Revue,040046176,Basel
1236153588,Probedrucke von Neujahrswünschen für verschiedene Auftraggeber,040046176,Basel
1236153634,Konvolut Arbeitsmaterialien Ornamente,040046176,Basel
1236153723,"Entwürfe, Korrekturfahnen und Probedrucke für den Umschlag von Phoebus - Schweizerische Zeitschrift für Kunst, Heft 1, 1942",040046176,Basel
1236153839,Schutzumschläge zu verschiedenen Auflagen von Geschichte der Schrift in Bildern,040046176,Basel
1236153863,Konvolut Probedrucke von Bestellscheinen und Werbebeilagen für Birkhäuser,040046176,Basel
1236153936,Konvolut Geschäftsdrucksachen für Birkhäuser,040046176,Basel
1236154053,Konvolut Werbebeilagen für Birkhäuser,040046176,Basel
1236154096,Wandkalender 1942 und 1944 für die Buchdruckerei und Kalenderfabrik Karl Werner,040046176,Basel
1236154207,"Notizen für Text und Entwurf für Schutzumschlag von Geschichte der Schrift in Bildern, 1. Auflage",040046176,Basel
1236154304,Ausschnitte aus Kunstkalendern des Holbein-Verlag,040046176,Basel
123615438X,"Druckbögen für Layout von Geschichte der Schrift in Bildern, 1. Auflage",040046176,Basel
1236154479,"Montierte Entwürfe und korrigierte Seiten für Text und Schutzumschlag von Geschichte der Schrift in Bildern, 2. Auflage",040046176,Basel
