idn,title,ts-idn,ts
1236149408,Skizze und Probedrucke von Empfehlungskarte Neujahrswunsch beigelegt zu Der chinesische Stempel,117375878X,Empfehlungskarte
1236149408,Skizze und Probedrucke von Empfehlungskarte Neujahrswunsch beigelegt zu Der chinesische Stempel,943626668,Probedruck
1236149408,Skizze und Probedrucke von Empfehlungskarte Neujahrswunsch beigelegt zu Der chinesische Stempel,041816684,Skizze
1236149416,"Skizzen, Probedrucke und Klebeentwürfe für Der chinesische Stempel",040131343,Druckwerk
1236149416,"Skizzen, Probedrucke und Klebeentwürfe für Der chinesische Stempel",041212088,Entwurf
1236149416,"Skizzen, Probedrucke und Klebeentwürfe für Der chinesische Stempel",943626668,Probedruck
1236149416,"Skizzen, Probedrucke und Klebeentwürfe für Der chinesische Stempel",946122350,Fahne
1236149424,Arbeitsmaterial zu Illustrationen für Der chinesische Stempel,04123412X,Illustration
1236149424,Arbeitsmaterial zu Illustrationen für Der chinesische Stempel,041212088,Entwurf
1236149424,Arbeitsmaterial zu Illustrationen für Der chinesische Stempel,041886828,Vorlage
1236149432,Klischeevorlagen für Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236149432,Klischeevorlagen für Illustrationen von Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236149432,Klischeevorlagen für Illustrationen von Das Alphabet des Damianus Moyllus,941715787,Klischee
1236149440,Klebeentwürfe für Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236149440,Klebeentwürfe für Illustrationen von Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,965476197,Heft
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,041816684,Skizze
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,042067774,Notiz
1236149483,Mappe mit Arbeitsmaterial zu Das Alphabet des Damianus Moyllus,040324230,Kopie
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,041816684,Skizze
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,042067774,Notiz
1236149513,Mappe Erste Stufen für die Gestaltung von Das Alphabet des Damianus Moyllus,040324230,Kopie
123614953X,Montierte Skizzen für die Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
123614953X,Montierte Skizzen für die Illustrationen von Das Alphabet des Damianus Moyllus,041212088,Entwurf
123614953X,Montierte Skizzen für die Illustrationen von Das Alphabet des Damianus Moyllus,041816684,Skizze
1236149556,"Montierte Entwürfe, Satzvorlagen und Probedrucke von Illustrationen für Das Alphabet des Damianus Moyllus",04123412X,Illustration
