ort-name,idn
Berzona,968526721
Basel,040046176
Olten,040435067
Brugg,040902110
Berlin,040057283
Harmondsworth,043008542
München,041277937
Frankfurt am Main,040181189
Leipzig,040352064
Dresden,040129950
Stuttgart,040582825
London,040743357
Bielefeld,040065103
Erlenbach,04015310X
Zürich,04068038X
Cannstatt,040698408
Tübingen,040611477
Freiburg im Üechtland,040714446
Hamburg,040231186
Lausanne,040347508
Heidelberg,040239969
Konstanz,040322157
Liestal,040996387
Ravensburg,040486346
Wiesbaden,040660435
Einsiedeln,040139328
Sankt Gallen,04051594X
Drayton,970980736
Luzern,040367339
Bern,040057623
Bern-Bümpliz,941897338
Celle,040096572
Amsterdam,040017834
Bradford,040805077
Stockholm,040576485
Schwabach,040536653
Riehen,040499790
Gümlingen,977265463
Wien,040660095
Hannover,040233499
Warschau,040790487
Leipzig-Paunsdorf,043244793
Serrig,96539106X
